candidate_name,layers,k,known_route,trace_count,top_k,layer_index,reverse_tail_priority,bi_prune_priority,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,smoke_rtd,calibration_rtd,holdout_rtd,gsm8k_retention,xsum_retention,risky_gsm8k_lt_0_60,score_file
rtp_gate_structure_drop_1_2,"1,2",2,,300,100,,,,677.7097737165045,0.10562830510632516,0.4124928246998649,1.698477812581851,0.3190725477545207,1325.3032373944045,399.008134088996,2.0677479987997254,295.8523849903674,,301.2101184836623,285.1369180037777,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_2.json
rtp_gate_structure_drop_1_20,"1,20",2,,300,100,,,,316.69121650740095,0.02406488142530652,0.11962433740564783,0.4083356636359446,0.15831484647876992,798.8634642910217,10.496893002072438,0.46467777640634106,143.72467019475252,,142.69397939278883,145.78605179868018,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_20.json
rtp_gate_structure_drop_1_20_24,"1,20,24",3,,300,100,,,,422.43673731307734,0.04978488498817659,0.26440273414739035,0.9191681160971753,0.2020174297915466,962.5140097392355,35.83250541561271,0.7834905115373906,184.63996864846396,,184.15398791976259,185.61193010586655,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_20_24.json
rtp_gate_structure_drop_1_21,"1,21",2,,300,100,,,,28.097770233977382,0.022268910306892063,0.09710064103797743,0.3816079060700186,0.16224215722195223,61.124459316018026,5.356415516691701,0.6051170837713222,12.298463664604858,,10.297440645216124,16.300509703382325,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_21.json
rtp_gate_structure_drop_1_21_24,"1,21,24",3,,300,100,,,,103.06283862616952,0.047995411785177584,0.23344394024542675,0.8507798485932951,0.210271726556939,137.22810538121925,44.438013995796716,0.9641833981501738,39.1967260378586,,36.716912120764164,44.15635387204748,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_21_24.json
rtp_gate_structure_drop_1_22,"1,22",2,,300,100,,,,28.956673191020872,0.02305006977374745,0.10513855916419332,0.5206184345232734,0.18091501154582296,58.56637999323249,19.75153313415407,0.44963288653723094,13.046144732149985,,13.755827382735553,11.62677943097886,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_22.json
rtp_gate_structure_drop_1_22_24,"1,22,24",3,,300,100,,,,165.154784010329,0.05894269583140737,0.27803693362784726,1.22702429152573,0.24935872023171293,139.78605939623682,88.8571434751357,1.0346992606207452,57.21713063950866,,57.51771834461771,56.61595522929056,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_22_24.json
rtp_gate_structure_drop_1_23,"1,23",2,,300,100,,,,18.844089528840165,0.019080895083219227,0.09032573394515808,0.34596465963473966,0.14684327759845114,43.88215247068845,2.1308593346988456,0.5377407539356726,8.433209624669301,,8.646549297809973,8.00653027838794,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_23.json
rtp_gate_structure_drop_1_23_24,"1,23,24",3,,300,100,,,,183.51139560271884,0.059376540552283634,0.28862086353405625,0.7980688516290255,0.19754771161477702,239.59960408340675,24.90725394540009,1.1566973967781182,66.53089382622869,,66.80583970216522,65.98100207435566,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_23_24.json
rtp_gate_structure_drop_1_24,"1,24",2,,300,100,,,,18.767917409143553,0.025527535588495708,0.12941174267244798,0.5366670544822604,0.1650962633146755,9.704613768574996,6.688978075676192,0.5704102573592216,5.946630170160664,,5.90096618463001,6.037958141221972,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_1_24.json
